ALV-5000/E-WIN Data
Date :	"24-Feb-12"
Time :	"19:30:32"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	      90.00000
Duration [s]    :	        10
Runs            :	         3
Mode            :	"DUAL AUTO CH0"
MeanCR0 [kHz]   :	    2652.99219
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average(0)"	"Run  1"	"Run  2"	"Run  3"	"Average(1)"	" 1,   0.000"	" 2,   0.000"	" 3,   0.000"	
  6.54336E+001	  3.16360E-004	  2.14825E-004	  2.93350E-004	  4.40905E-004	  5.34302E-004	  4.47396E-004	  5.11101E-004	  6.44410E-004	
  7.19872E+001	  3.14304E-004	  2.15929E-004	  2.88741E-004	  4.38241E-004	  5.31449E-004	  4.48581E-004	  5.04580E-004	  6.41185E-004	
  7.85408E+001	  3.12218E-004	  2.22967E-004	  2.83521E-004	  4.30165E-004	  5.24080E-004	  4.46457E-004	  4.95457E-004	  6.30326E-004	
  8.50944E+001	  3.14004E-004	  2.13195E-004	  2.90887E-004	  4.37930E-004	  5.28139E-004	  4.54089E-004	  4.86731E-004	  6.43598E-004	
  9.16480E+001	  3.10069E-004	  2.23148E-004	  2.74650E-004	  4.32410E-004	  5.13314E-004	  4.34674E-004	  4.80678E-004	  6.24590E-004	
  9.82016E+001	  3.04408E-004	  2.19725E-004	  2.60929E-004	  4.32570E-004	  5.05680E-004	  4.30031E-004	  4.61888E-004	  6.25121E-004	
  1.04755E+002	  2.97571E-004	  2.13214E-004	  2.68320E-004	  4.11180E-004	  4.87556E-004	  4.05339E-004	  4.56085E-004	  6.01245E-004	
  1.17862E+002	  2.96312E-004	  2.09346E-004	  2.66972E-004	  4.12618E-004	  4.85248E-004	  4.15501E-004	  4.58995E-004	  5.81247E-004	
  1.30970E+002	  2.92261E-004	  2.07835E-004	  2.55978E-004	  4.12969E-004	  4.73496E-004	  3.96634E-004	  4.46925E-004	  5.76929E-004	
  1.44077E+002	  2.92302E-004	  1.97782E-004	  2.55708E-004	  4.23416E-004	  4.71421E-004	  3.74250E-004	  4.39972E-004	  6.00040E-004	
  1.57184E+002	  2.90955E-004	  1.92939E-004	  2.61776E-004	  4.18149E-004	  4.75230E-004	  3.86377E-004	  4.42983E-004	  5.96330E-004	
  1.70291E+002	  2.97435E-004	  2.08835E-004	  2.69109E-004	  4.14362E-004	  4.77395E-004	  3.97386E-004	  4.66218E-004	  5.68582E-004	
