ALV-5000/E-WIN Data
Date :	"11.02.2013"
Time :	"15:01:50"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	       0.00000
Angle [°]       :	       0.00000
Duration [s]    :	        60
Runs            :	         5
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     123.59176
MeanCR1 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 125.471"	" 2, 124.904"	" 3, 123.333"	" 4, 122.813"	" 5, 123.592"	
  1.83450E+002	 -1.95124E-005	  5.09022E-006	 -1.26078E-004	  2.29574E-005	  1.94206E-005	 -1.89518E-005	
  1.96557E+002	 -2.23992E-005	 -5.67749E-005	 -4.70338E-005	 -5.63597E-005	 -4.29861E-006	  5.24710E-005	
  2.09664E+002	  1.36582E-005	  4.10827E-005	  2.68405E-006	  1.90222E-005	 -2.49176E-005	  3.04197E-005	
  2.35878E+002	  4.77575E-005	  8.87890E-005	  9.48335E-006	  7.26654E-005	  8.20263E-005	 -1.41766E-005	
  2.62093E+002	  7.35114E-006	  4.70226E-005	 -1.95540E-005	  4.92982E-005	 -1.67484E-005	 -2.32628E-005	
  2.88307E+002	  3.89471E-005	  1.29774E-004	  5.38188E-006	  6.75396E-005	 -1.23692E-005	  4.40943E-006	
  3.14522E+002	  5.16336E-005	  8.70331E-005	 -6.44842E-005	  1.37087E-004	  5.10815E-005	  4.74505E-005	
  3.40736E+002	  2.40444E-005	  9.84616E-005	  9.21979E-006	  1.53601E-005	  3.56570E-005	 -3.84762E-005	
  3.66950E+002	  6.60623E-006	 -3.02230E-005	  5.17251E-005	  8.23875E-005	  5.52191E-006	 -7.63803E-005	
  3.93165E+002	  3.44096E-006	  6.06188E-005	 -8.76386E-005	  5.11766E-005	 -7.10244E-005	  6.40723E-005	
  4.19379E+002	  1.48808E-005	 -5.39688E-006	  4.60430E-005	  2.47143E-005	 -2.08007E-006	  1.11235E-005	
  4.71808E+002	  4.29289E-005	  6.97580E-005	  5.62854E-005	  9.52061E-005	  4.70400E-007	 -7.07547E-006	
  5.24237E+002	  5.45242E-006	  1.44402E-005	 -6.30704E-005	  8.65418E-005	  7.04206E-006	 -1.76915E-005	
  5.76666E+002	  1.13388E-005	  2.63676E-005	  2.08889E-005	  6.49228E-005	 -3.32555E-005	 -2.22296E-005	
  6.29094E+002	  1.34420E-005	 -2.60328E-005	  7.08812E-006	  4.54540E-005	  5.73332E-006	  3.49675E-005	
  6.81523E+002	 -2.75591E-005	 -3.52050E-005	 -1.19699E-005	  2.10457E-005	 -2.35031E-005	 -8.81630E-005	
  7.33952E+002	  2.36745E-005	  4.17686E-005	  9.66545E-006	  6.68141E-005	 -3.86117E-005	  3.87361E-005	
  7.86381E+002	  2.34231E-005	  9.83870E-005	 -1.82565E-005	  9.72930E-005	  2.37295E-006	 -6.26811E-005	
  8.38810E+002	  3.05944E-005	  9.04371E-005	  1.83337E-005	  8.55236E-005	 -3.14726E-005	 -9.84987E-006	
  9.43667E+002	  4.10942E-006	  1.58092E-005	 -1.96265E-005	  5.08682E-005	 -2.17226E-005	 -4.78115E-006	
  1.04852E+003	  8.12389E-006	  1.11745E-005	  5.07232E-006	  2.42436E-005	 -9.51222E-006	  9.64124E-006	
  1.15338E+003	  3.04923E-005	  3.40465E-005	  2.71443E-006	  6.51300E-005	  3.33867E-005	  1.71841E-005	
  1.25824E+003	  1.26543E-005	  2.52522E-005	 -1.07590E-005	 -4.67522E-006	  1.92404E-005	  3.42132E-005	
  1.36310E+003	  7.30415E-006	  1.35436E-005	 -3.03105E-005	  6.63810E-005	 -1.43914E-005	  1.29799E-006	
  1.46796E+003	  2.69740E-005	  1.75872E-005	  1.56593E-005	  9.83051E-005	  1.09606E-005	 -7.64204E-006	
  1.57281E+003	  3.13811E-005	  2.64547E-005	 -3.06711E-006	  1.11753E-004	  7.14147E-006	  1.46235E-005	
  1.67767E+003	  2.71455E-005	  5.33569E-005	  6.19814E-006	  8.33692E-005	 -8.43316E-006	  1.23631E-006	
  1.88739E+003	  3.30288E-005	  7.62927E-005	  9.26821E-006	  8.12039E-005	  5.24608E-006	 -6.86690E-006	
  2.09710E+003	  1.13197E-005	  3.52617E-005	  1.19559E-005	  3.83555E-005	 -1.88663E-005	 -1.01084E-005	
